case_id,invoice_amount,days_overdue,customer_type,credit_score,past_recovery_rate,dispute_history,dca_id,dca_performance_score,sla_breach_count,recovered,customer_id,customer_name,case_created_date,assigned_date,case_status,amount_recovered,payment_date,case_closed_date,risk_score,priority_level,action_count,last_action_type,last_action_date,next_followup_date,escalation_flag,escalation_reason
CASE_1,126958,44,SME,744,0.76,1,DCA_C,91,0,0,CUST_1000,Mary Davis,2024-12-02,2024-12-02,DISPUTE,0.0,,,29.4,LOW,1,WhatsApp Reminder,2024-12-05,2025-01-28,1,Dispute Raised
CASE_2,151867,117,Enterprise,891,0.63,1,DCA_C,72,1,0,CUST_1001,Williams Inc,2024-09-20,2024-09-23,OPEN,0.0,,,32.3,LOW,1,Call,2024-11-20,2025-01-18,1,SLA Breach
CASE_3,136932,38,SME,439,0.9,0,DCA_A,72,0,0,CUST_1002,Thomas Brown,2024-12-08,2024-12-11,OPEN,0.0,,,45.8,LOW,10,Call,2025-01-01,2025-01-17,0,
CASE_4,370838,99,SME,708,0.4,0,DCA_B,66,1,1,CUST_1003,James Wilson,2024-10-08,2024-10-08,PAID,342441.21,2024-12-11,2024-12-11,34.9,LOW,9,Legal Notice,2024-11-05,,1,SLA Breach
CASE_5,264178,124,Enterprise,634,0.61,1,DCA_B,54,1,0,CUST_1004,Williams Inc,2024-09-13,2024-09-16,IN_PROGRESS,0.0,,,57.2,MEDIUM,10,SMS,2024-12-24,2025-01-17,1,SLA Breach
CASE_6,124879,6,SME,580,0.32,0,DCA_D,63,0,1,CUST_1005,Patricia Jones,2025-01-09,2025-01-11,PAID,113951.79,2025-01-12,2025-01-12,25.9,LOW,13,Call,2025-01-12,,0,
CASE_7,115268,68,SME,704,0.33,0,DCA_D,62,0,0,CUST_1006,David Garcia,2024-11-08,2024-11-11,IN_PROGRESS,0.0,,,28.4,LOW,11,Legal Notice,2024-11-15,2025-01-21,0,
CASE_8,212892,179,SME,421,0.33,0,DCA_D,57,1,1,CUST_1007,Robert Garcia,2024-07-20,2024-07-21,PAID,198763.76,2024-11-04,2024-11-04,78.8,HIGH,4,Physical Visit,2024-10-13,,1,SLA Breach
CASE_9,59886,101,Enterprise,759,0.62,1,DCA_D,80,2,0,CUST_1008,Miller Logistics,2024-10-06,2024-10-06,OPEN,0.0,,,40.7,LOW,9,Physical Visit,2024-10-22,2025-01-19,1,SLA Breach
CASE_10,142337,163,Enterprise,338,0.68,0,DCA_B,54,4,0,CUST_1009,Lopez Enterprises,2024-08-05,2024-08-08,IN_PROGRESS,0.0,,,82.8,HIGH,3,Physical Visit,2024-10-10,2025-01-18,1,SLA Breach
CASE_11,480602,134,Enterprise,374,0.3,1,DCA_B,80,1,0,CUST_1010,Brown Enterprises,2024-09-03,2024-09-03,DISPUTE,0.0,,,83.1,HIGH,1,Call,2024-12-04,2025-01-16,1,SLA Breach
CASE_12,435410,13,SME,860,0.71,0,DCA_C,61,1,0,CUST_1011,Sarah Williams,2025-01-02,2025-01-05,IN_PROGRESS,0.0,,,2.0,LOW,10,Physical Visit,2025-01-07,2025-01-21,1,SLA Breach
CASE_13,92498,30,SME,516,0.62,0,DCA_C,61,3,1,CUST_1012,Karen Johnson,2024-12-16,2024-12-16,PAID,87549.38,2025-01-05,2025-01-05,37.0,LOW,5,SMS,2024-12-17,,1,SLA Breach
CASE_14,379871,100,SME,545,0.45,0,DCA_D,94,1,0,CUST_1013,Charles Brown,2024-10-07,2024-10-08,IN_PROGRESS,0.0,,,49.9,LOW,2,Call,2024-11-04,2025-01-25,1,SLA Breach
CASE_15,393468,2,SME,717,0.31,0,DCA_A,73,2,1,CUST_1014,Susan Johnson,2025-01-13,2025-01-14,PAID,374369.47,2025-01-15,2025-01-15,12.5,LOW,5,WhatsApp Reminder,2025-01-15,,1,SLA Breach
CASE_16,180203,58,SME,502,0.4,1,DCA_C,97,2,0,CUST_1015,Mary Lopez,2024-11-18,2024-11-18,DISPUTE,0.0,,,54.5,MEDIUM,14,Legal Notice,2024-11-19,2025-01-29,1,Customer Unresponsive
CASE_17,196335,36,Enterprise,818,0.69,1,DCA_B,76,0,0,CUST_1016,Gonzalez Logistics,2024-12-10,2024-12-10,DISPUTE,0.0,,,20.9,LOW,5,Email,2024-12-11,2025-01-19,1,Refusal to Pay
CASE_18,283167,72,SME,595,0.73,0,DCA_A,69,1,0,CUST_1017,Jennifer Brown,2024-11-04,2024-11-05,DISPUTE,0.0,,,39.2,LOW,2,Email,2024-11-05,2025-01-19,1,Contact Info Invalid
CASE_19,46090,173,SME,749,0.72,0,DCA_C,85,1,0,CUST_1018,Mary Williams,2024-07-26,2024-07-26,OPEN,0.0,,,47.6,LOW,1,SMS,2024-11-20,2025-01-20,1,SLA Breach
CASE_20,334365,137,SME,527,0.4,0,DCA_A,74,0,0,CUST_1019,Robert Williams,2024-08-31,2024-08-31,OPEN,0.0,,,59.8,MEDIUM,14,Physical Visit,2024-11-23,2025-01-24,1,Customer Unresponsive
CASE_21,69820,126,SME,402,0.89,0,DCA_C,84,3,1,CUST_1020,Richard Smith,2024-09-11,2024-09-13,PAID,67929.5,2025-01-07,2025-01-07,68.7,MEDIUM,11,WhatsApp Reminder,2024-11-13,,1,SLA Breach
CASE_22,267913,77,SME,391,0.57,0,DCA_D,77,1,0,CUST_1021,Patricia Miller,2024-10-30,2024-10-30,OPEN,0.0,,,58.8,MEDIUM,3,WhatsApp Reminder,2024-12-18,2025-01-18,1,SLA Breach
CASE_23,326879,50,SME,656,0.8,0,DCA_D,72,0,1,CUST_1022,David Hernandez,2024-11-26,2024-11-29,PAID,299324.27,2024-12-02,2024-12-02,28.7,LOW,7,WhatsApp Reminder,2024-12-02,,0,
CASE_24,199027,32,SME,445,0.41,0,DCA_A,79,0,1,CUST_1023,Sarah Davis,2024-12-14,2024-12-15,PAID,190188.04,2024-12-26,2024-12-26,43.9,LOW,11,WhatsApp Reminder,2024-12-15,,0,
CASE_25,332069,98,Enterprise,566,0.61,0,DCA_B,75,0,0,CUST_1024,Gonzalez Technologies,2024-10-09,2024-10-10,OPEN,0.0,,,47.6,LOW,2,Physical Visit,2025-01-07,2025-01-17,0,
CASE_26,257709,43,SME,418,0.64,1,DCA_B,70,1,1,CUST_1025,James Davis,2024-12-03,2024-12-03,PAID,250238.9,2024-12-17,2024-12-17,58.8,MEDIUM,12,Email,2024-12-15,,1,SLA Breach
CASE_27,204041,125,Enterprise,802,0.8,1,DCA_D,50,1,0,CUST_1026,Smith Corp,2024-09-12,2024-09-12,OPEN,0.0,,,42.1,LOW,7,Physical Visit,2024-12-15,2025-01-16,1,SLA Breach
CASE_28,272455,95,SME,563,0.7,1,DCA_D,81,0,0,CUST_1027,Sarah Williams,2024-10-12,2024-10-12,OPEN,0.0,,,57.2,MEDIUM,4,WhatsApp Reminder,2024-12-23,2025-01-22,0,
CASE_29,108355,78,SME,575,0.56,1,DCA_B,76,2,0,CUST_1028,Patricia Hernandez,2024-10-29,2024-10-29,IN_PROGRESS,0.0,,,52.3,MEDIUM,9,WhatsApp Reminder,2024-12-21,2025-01-21,1,SLA Breach
CASE_30,240796,54,SME,358,0.48,0,DCA_D,69,1,0,CUST_1029,Charles Williams,2024-11-22,2024-11-23,OPEN,0.0,,,56.7,MEDIUM,13,Call,2024-12-10,2025-01-29,1,SLA Breach
CASE_31,219176,47,SME,646,0.93,0,DCA_C,93,1,1,CUST_1030,Sarah Rodriguez,2024-11-29,2024-12-02,PAID,218846.23,2024-12-24,2024-12-24,29.0,LOW,12,SMS,2024-12-20,,1,SLA Breach
CASE_32,189779,14,SME,485,0.48,0,DCA_D,77,2,1,CUST_1031,Linda Davis,2025-01-01,2025-01-01,PAID,179536.94,2025-01-01,2025-01-01,36.3,LOW,13,Call,2025-01-01,,1,SLA Breach
CASE_33,352449,176,SME,414,0.38,0,DCA_A,60,0,0,CUST_1032,Joseph Jones,2024-07-23,2024-07-23,IN_PROGRESS,0.0,,,78.7,HIGH,12,WhatsApp Reminder,2024-12-24,2025-01-28,0,
CASE_34,426909,55,Enterprise,661,0.5,0,DCA_D,50,2,1,CUST_1033,Davis LLC,2024-11-21,2024-11-24,PAID,400962.62,2025-01-15,2025-01-15,29.4,LOW,7,Legal Notice,2024-12-04,,1,SLA Breach
CASE_35,470148,157,SME,535,0.51,1,DCA_D,86,1,0,CUST_1034,Robert Miller,2024-08-11,2024-08-11,IN_PROGRESS,0.0,,,73.5,MEDIUM,8,Legal Notice,2024-12-11,2025-01-28,1,SLA Breach
CASE_36,263795,175,SME,741,0.38,0,DCA_B,96,3,0,CUST_1035,Robert Rodriguez,2024-07-24,2024-07-24,IN_PROGRESS,0.0,,,48.8,LOW,1,Email,2024-10-31,2025-01-17,1,SLA Breach
CASE_37,491232,63,SME,877,0.76,1,DCA_B,58,1,0,CUST_1036,Linda Lopez,2024-11-13,2024-11-14,OPEN,0.0,,,21.5,LOW,6,Call,2024-12-07,2025-01-27,1,Contact Info Invalid
CASE_38,397752,19,SME,562,0.7,0,DCA_A,62,1,1,CUST_1037,Michael Gonzalez,2024-12-27,2024-12-29,PAID,370755.43,2024-12-29,2024-12-29,30.4,LOW,6,WhatsApp Reminder,2024-12-29,,1,SLA Breach
CASE_39,161730,91,Enterprise,350,0.51,0,DCA_B,95,0,0,CUST_1038,Rodriguez Technologies,2024-10-16,2024-10-18,IN_PROGRESS,0.0,,,65.7,MEDIUM,11,Physical Visit,2024-11-05,2025-01-25,0,
CASE_40,351622,137,SME,650,0.95,0,DCA_A,94,1,0,CUST_1039,Karen Garcia,2024-08-31,2024-09-01,DISPUTE,0.0,,,48.6,LOW,2,Call,2024-11-05,2025-01-26,1,SLA Breach
CASE_41,389681,101,SME,716,0.73,0,DCA_C,69,1,1,CUST_1040,Thomas Jones,2024-10-06,2024-10-09,PAID,385109.92,2024-10-16,2024-10-16,34.6,LOW,13,Legal Notice,2024-10-12,,1,SLA Breach
CASE_42,154503,37,SME,312,0.76,1,DCA_B,91,2,0,CUST_1041,Patricia Davis,2024-12-09,2024-12-12,IN_PROGRESS,0.0,,,67.1,MEDIUM,14,Legal Notice,2025-01-02,2025-01-26,1,SLA Breach
CASE_43,135523,107,SME,693,0.66,0,DCA_A,78,1,0,CUST_1042,Michael Brown,2024-09-30,2024-09-30,OPEN,0.0,,,38.1,LOW,11,Email,2024-10-09,2025-01-23,1,SLA Breach
CASE_44,7747,92,SME,831,0.66,1,DCA_D,68,0,0,CUST_1043,Jessica Rodriguez,2024-10-15,2024-10-15,IN_PROGRESS,0.0,,,32.2,LOW,10,SMS,2024-10-31,2025-01-27,0,
CASE_45,128855,52,SME,512,0.31,1,DCA_A,84,6,0,CUST_1044,Robert Garcia,2024-11-24,2024-11-26,OPEN,0.0,,,52.3,MEDIUM,7,Email,2024-11-27,2025-01-21,1,SLA Breach
CASE_46,457366,28,Enterprise,569,0.8,1,DCA_A,90,1,0,CUST_1045,Rodriguez Corp,2024-12-18,2024-12-18,OPEN,0.0,,,41.8,LOW,5,Call,2024-12-20,2025-01-28,1,SLA Breach
